"node","x","y"
349,-121.64167736442,38.17279585928
239,-121.62853051111,38.11650247113
205,-121.62033588057,37.97640922487
179,-121.57395448038,37.81597145888
311,-121.58618531556,38.4739826529
310,-121.58339816061,38.54115198657
309,-121.5221388895,38.56118305077
330,-121.50611718597,38.5863580843
331,-121.51785122409,38.56089324416
332,-121.52388396658,38.52048420153
333,-121.55818607313,38.50313857757
334,-121.52115811833,38.47433734918
298,-121.54114558243,38.3784125184
297,-121.53606598417,38.3964752964
337,-121.51307035057,38.39475589631
296,-121.52305505218,38.41366486049
336,-121.53203541595,38.43245640556
335,-121.50146820421,38.44397766034
312,-121.60482716963,38.42881040469
313,-121.62878537175,38.3846162411
299,-121.55756459919,38.36275523884
338,-121.5214307611,38.36086730817
339,-121.57387781436,38.32696661326
451,-121.49966610581,38.32068335657
452,-121.5117088211,38.30857798475
453,-121.5052158208,38.29017496631
301,-121.59806442708,38.31058200776
340,-121.57303643249,38.30536873894
303,-121.58979857964,38.27753014828
302,-121.60531340732,38.28605571318
307,-121.6449735397,38.28893728475
308,-121.64190190776,38.27067908527
314,-121.64264918896,38.34541885274
317,-121.66571260051,38.33785238415
318,-121.66621961537,38.28900050658
315,-121.65994058176,38.27947121383
273,-121.82018022179,38.28624322503
324,-121.7713641272,38.26373490448
325,-121.74529229776,38.26021016527
326,-121.72406994961,38.25630443517
320,-121.72255339768,38.29133531089
319,-121.69016132739,38.32806184941
321,-121.69144358608,38.2598877825
322,-121.68786971043,38.24443749122
293,-121.58257493807,38.16607152534
316,-121.67302314468,38.23169888852
323,-121.68234407624,38.23770673673
304,-121.6007297958,38.25409628854
305,-121.60218596973,38.22512279103
306,-121.63234263717,38.19366942726
350,-121.66645384549,38.17558791145
348,-121.60902775281,38.16356302824
344,-121.55768797682,38.23786655872
341,-121.53296208145,38.26962291498
454,-121.4977363266,38.27041668761
455,-121.50566809433,38.26065764947
290,-121.53652711432,38.2124531919
289,-121.53953775805,38.22337330241
288,-121.52378623937,38.22930775409
343,-121.51714635554,38.23975040098
342,-121.51049571191,38.24705216274
282,-121.51113563831,38.20329305398
281,-121.50416819558,38.21261840806
280,-121.50563971009,38.22438692346
256,-121.49763447297,38.23790823676
255,-121.49634626906,38.24163137164
254,-121.49804312869,38.2509481255
253,-121.49612437319,38.26497563896
449,-121.4627754371,38.2700954684
448,-121.43803897236,38.2813235885
446,-121.42116329538,38.25459872797
447,-121.42514672039,38.2482674033
257,-121.43918469054,38.25520598413
258,-121.47415579719,38.25837067829
259,-121.48255843996,38.24263119443
260,-121.49207313141,38.22724873128
261,-121.49851454953,38.21904346306
347,-121.57833597466,38.18874665029
346,-121.55783163794,38.20061974194
292,-121.57369988672,38.18170178807
291,-121.54498174205,38.19919601224
283,-121.52444168757,38.19850047519
284,-121.526984124,38.18159459043
285,-121.5305552968,38.16572882066
286,-121.53661539059,38.1512544994
274,-121.42166409664,38.204043187
275,-121.45782720232,38.20431748901
262,-121.47878652374,38.19423260401
263,-121.48924972693,38.18149033314
276,-121.43310910971,38.17472476952
277,-121.46516239902,38.16885334022
264,-121.49312848399,38.16648007914
265,-121.50288624907,38.15422129697
278,-121.4306081214,38.14660317245
279,-121.45861087855,38.13991103509
266,-121.50387594002,38.14163907077
