chan_no,length,manning,dispersion,upnode,downnode
270,3908,0.027,720,220,226
271,12975,0.05,720,222,221
272,14002,0.05,720,221,220
273,4983,0.027,720,218,222
274,12940,0.027,900,222,223
275,18409,0.027,900,223,45
276,6850,0.025,720,103,224
277,10105,0.025,720,224,225
278,5854,0.025,720,225,226
279,8937,0.025,720,226,44
280,11364,0.05,720,42,226
281,3300,0.028,60,354,459
282,3300,0.028,60,459,460
283,7500,0.034,60,460,461
284,6063,0.026,60,461,467
285,4500,0.026,60,462,47
286,5374,0.026,60,355,462
287,6123,0.026,60,47,463
288,10323,0.029,60,463,356
289,7760,0.037,60,463,466
290,6226,0.019,350,464,465
291,4657,0.019,350,465,356
292,3912,0.025,60,466,464
293,2758,0.025,60,465,466
294,4836,0.025,60,466,356
295,2300,0.024,60,471,462
296,3000,0.024,60,470,471
297,5030,0.024,60,459,470
299,5322,0.03,60,460,467
300,4759,0.026,60,467,46
301,3000,0.024,60,470,471
307,13500,0.032,60,239,41
308,12500,0.032,60,240,239
309,7593,0.032,60,240,352
310,8100,0.032,60,43,240
311,18638,0.022,360,241,242
312,11385,0.022,360,241,24
313,15774,0.022,360,242,243
314,8130,0.022,360,243,244
315,7400,0.022,360,244,30
316,2755,0.022,360,244,32
317,15422,0.022,360,246,242
318,5030,0.022,360,247,243
319,11124,0.024,360,245,33
320,15797,0.022,360,246,247
321,7625,0.022,360,248,247
322,10351,0.022,360,250,248
323,6101,0.024,360,268,249
324,5416,0.024,360,249,250
325,9962,0.024,360,250,245
326,8225,0.024,360,245,251
327,10941,0.024,360,251,252
328,7158,0.024,360,252,39
329,4845,0.038,360,253,254
330,4591,0.028,360,254,255
331,2145,0.028,360,255,256
332,7103,0.028,360,256,280
333,3369,0.026,360,256,260
334,12296,0.03,360,257,258
335,7128,0.03,360,258,259
336,5953,0.03,360,259,260
337,7882,0.026,360,260,261
338,9962,0.026,360,261,262
339,5963,0.026,360,262,263
340,7356,0.026,360,263,264
341,7139,0.026,360,264,265
342,7380,0.026,360,265,266
343,4443,0.026,360,266,267
344,7088,0.026,360,267,268
345,8752,0.028,360,268,269
346,8189,0.028,360,269,270
347,10249,0.028,360,270,271
348,7902,0.028,360,271,272
349,9672,0.028,360,272,40
350,5905,0.028,360,274,275
351,10417,0.028,360,275,262
352,6066,0.028,360,276,277
353,8793,0.028,360,277,264
354,10390,0.028,360,278,279
355,13656,0.028,360,279,266
356,4249,0.028,360,260,280
357,5023,0.028,360,280,281
358,3621,0.028,360,281,282
359,3398,0.028,360,282,283
360,9416,0.028,360,283,284
361,5297,0.028,360,284,285
